,x,y,T,U-val,alternative,p-val,RBC,CLES,cohen,power
30,CG_probable,model_DEATH,,977.0,two-sided,8.067787162407047e-05,0.46126275158533225,0.2693686242073339,-0.7240582356884548,0.9452849073537153
29,CG_probable,MORT_IMPLICITE,,988.0,two-sided,9.529790840855748e-05,0.4551971326164874,0.2724014336917563,-0.7210374113646372,0.9436195400647218
33,CG_probable,model_PHYSICAL_SENSATIONS,,1077.0,two-sided,0.000523866376807531,0.4061207609594706,0.2969396195202647,-0.6546203989186462,0.8960389538840947
32,CG_probable,model_BODY,,1100.5,two-sided,0.000786582711428217,0.3931623931623932,0.3034188034188034,-0.6647548242602151,0.9047558269306968
18,CG_probable,polarimot_negative,,2398.0,two-sided,0.005924612847071216,-0.32230493520816106,0.6611524676040805,0.45018250439571916,0.6002503812954906
0,CG_probable,age,,2368.0,two-sided,0.008975960022551743,-0.30576233802040265,0.6528811690102013,0.6086693161649342,0.8492763058893206
1,CG_probable,living_alone,,2253.5,two-sided,0.01064352569310861,-0.24262475875379108,0.6213123793768955,0.5266258421514948,0.7356152569587581
10,CG_probable,liwc_émopos,,2356.0,two-sided,0.010648947110903712,-0.2991452991452992,0.6495726495726496,0.4355527410507561,0.5722338632679189
23,CG_probable,gobin_PCcolère,,2351.0,two-sided,0.011391587264989416,-0.2963881996140061,0.648194099807003,0.5316475058700336,0.7436306776968588
16,CG_probable,feel_positive,,2347.0,two-sided,0.012018435170077932,-0.2941825199889716,0.6470912599944858,0.6254082038061697,0.8677136526912177
4,CG_probable,number_of_nodes,,1287.5,two-sided,0.013275793052079965,0.29004687069203194,0.35497656465398403,-0.4934540935295224,0.6796667735430721
22,CG_probable,gobin_PCsurprise,,2321.0,two-sided,0.016890376679818065,-0.2798456024262477,0.6399228012131238,0.45347685478616045,0.6064942041235236
15,CG_probable,feel_surprise,,2318.0,two-sided,0.017551385599416897,-0.2781913427074718,0.6390956713537359,0.5310248769216749,0.7426437787569854
24,CG_probable,gobin_PCpos,,2304.0,two-sided,0.020944803233073035,-0.2704714640198511,0.6352357320099256,0.5551638558389348,0.779415455520943
7,CG_probable,degree_std,,1323.0,two-sided,0.020944803233073035,0.2704714640198511,0.36476426799007444,-0.47026301776974605,0.6378550883978397
5,CG_probable,number_of_edges,,1329.0,two-sided,0.02256554721629084,0.2671629445822994,0.3664185277088503,-0.43666245024662537,0.5743736514949876
3,CG_probable,words_number,,1329.0,two-sided,0.02256554721629084,0.2671629445822994,0.3664185277088503,-0.43666245024662537,0.5743736514949876
12,CG_probable,labMT,,2298.0,two-sided,0.02256592216236089,-0.2671629445822994,0.6335814722911497,0.5382757730941649,0.7540133297508089
28,CG_probable,passive_sents_count,,1339.0,two-sided,0.025413128728675776,0.2616487455197133,0.36917562724014336,-0.4645360566296779,0.6272472436819035
31,CG_probable,Generical_PRESENT,,2288.0,two-sided,0.025510538010779467,-0.2616487455197132,0.6308243727598566,0.5994288089341588,0.838397741163968
6,CG_probable,PE,,1339.5,two-sided,0.02566502387949223,0.261373035566584,0.369313482216708,-0.43088267102351935,0.5632063692304974
34,CG_probable,agentivity,,1346.5,two-sided,0.02793177151327531,0.25751309622277363,0.3712434518886132,-0.46736972272167815,0.6325085672922958
21,CG_probable,gobin_PCjoie,,2278.0,two-sided,0.02878191103813902,-0.2561345464571272,0.6280672732285636,0.5817033918088472,0.8161337820046548
13,CG_probable,textblob_polarity,,2278.0,two-sided,0.02878191103813902,-0.2561345464571272,0.6280672732285636,0.4827819039101583,0.6606687986490043
17,CG_probable,polarimot_neutre,,2272.0,two-sided,0.03091325060377504,-0.25282602701957546,0.6264130135097877,0.5379846228155133,0.7535620517242768
27,CG_probable,passive_count_norm,,1355.5,two-sided,0.03109667051273358,0.25255031706644615,0.3737248414667769,-0.45708138023020073,0.6132946812415891
20,CG_probable,gobin_Arousal,,2271.0,two-sided,0.03128133693119421,-0.25227460711331684,0.6261373035566584,0.5249806389612985,0.7329617702468861
19,CG_probable,polarimot_positive,,2270.0,two-sided,0.03165317746278926,-0.2517231872070582,0.6258615936035291,0.46891964869744757,0.6353759428693042
25,CG_probable,gobin_PCneg,,2254.0,two-sided,0.03813804640035888,-0.24290046870692028,0.6214502343534601,0.4313384147400114,0.5640888672170585
14,CG_probable,feel_fear,,2236.0,two-sided,0.04675107367268049,-0.23297491039426532,0.6164874551971327,0.39926805915489877,0.5014699345168238
