,x,y,p-unc,np2,power
27,full_and_partial_PTSD,model_DEATH,0.001611627528433181,0.08487691134387157,0.9999765657658356
29,full_and_partial_PTSD,model_BODY,0.0023972226195836006,0.07985123736798805,0.999944220026099
7,full_and_partial_PTSD,average_shrotest_path_g0,0.003393080855137072,0.07543120727329777,0.9998825703858142
15,full_and_partial_PTSD,feel_positive,0.0042130486883175935,0.07266678932751885,0.9998145945112381
26,full_and_partial_PTSD,MORT_IMPLICITE,0.005794678187379618,0.06858070151433894,0.9996404640996276
30,full_and_partial_PTSD,model_PHYSICAL_SENSATIONS,0.005853649446733232,0.06845061026529477,0.9996328961507497
22,full_and_partial_PTSD,gobin_PCcolère,0.007370821484411302,0.06548467844959553,0.999412289828943
19,full_and_partial_PTSD,gobin_Arousal,0.011482555136517568,0.05975309856207124,0.9985754572229962
10,full_and_partial_PTSD,labMT,0.012962224873932678,0.05817981532617044,0.9981938769180514
16,full_and_partial_PTSD,polarimot_neutre,0.013497403026262558,0.05765409466828143,0.9980459027790223
3,full_and_partial_PTSD,token_ratio_score,0.014329647063792379,0.05687606775709863,0.9978055167054625
25,full_and_partial_PTSD,gobin_PCneg,0.016591695423266353,0.05496744583941967,0.9970907243115608
20,full_and_partial_PTSD,gobin_PCjoie,0.01777415200852338,0.054069656197094994,0.9966824939529646
24,full_and_partial_PTSD,gobin_PCpos,0.01918436598329215,0.053072963645320756,0.9961657054586194
14,full_and_partial_PTSD,feel_joy,0.02229358303281468,0.05110911657023217,0.9949159468283447
5,full_and_partial_PTSD,degree_std,0.02236964640607452,0.051064536130878795,0.9948835317210517
18,full_and_partial_PTSD,polarimot_positive,0.02532235383004591,0.049440368824929054,0.9935600785732257
0,full_and_partial_PTSD,age,0.025990158627029317,0.04909901867458617,0.9932435839405022
4,full_and_partial_PTSD,degree_average,0.02639761539570877,0.048894969789724886,0.9930474478063201
2,full_and_partial_PTSD,noun_ratio_score,0.0302577289720266,0.04710287129240205,0.9910790131383651
23,full_and_partial_PTSD,gobin_PCpeur,0.030261459140086322,0.047101251073542606,0.991077017072262
12,full_and_partial_PTSD,feel_surprise,0.03164930622100252,0.04651170023082565,0.9903221902686341
28,full_and_partial_PTSD,Generical_PRESENT,0.03193823676348981,0.04639217516978646,0.9901620245960014
13,full_and_partial_PTSD,feel_disgust,0.03245239221244762,0.04618209230321282,0.9898744675630389
6,full_and_partial_PTSD,average_clustering,0.034687711553002994,0.04530534367472046,0.9885871805135802
21,full_and_partial_PTSD,gobin_PCsurprise,0.03549110739905475,0.045003787961515815,0.9881100867268816
1,full_and_partial_PTSD,living_alone,0.0406636546852658,0.043209972394755006,0.984864322169894
11,full_and_partial_PTSD,feel_anger,0.04287506903939381,0.042510853544592164,0.9833889617568363
9,full_and_partial_PTSD,liwc_corps,0.044667278892734245,0.04196987522194163,0.9821567029217243
8,full_and_partial_PTSD,liwc_émonég,0.04471126105724345,0.041956870008624816,0.9821260599383111
17,full_and_partial_PTSD,polarimot_negative,0.04657461171861325,0.04141717214862832,0.9808104851617188
